danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,month,revenue,position
0.431,0.373,11,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,audio_features,2ctvdKmETyOzPb2GiJJT53,spotify:track:2ctvdKmETyOzPb2GiJJT53,https://api.spotify.com/v1/tracks/2ctvdKmETyOzPb2GiJJT53,https://api.spotify.com/v1/audio-analysis/2ctvdKmETyOzPb2GiJJT53,169535,4,Breathe,Faith Hill,Apr 2000,3194.199,4
0.561,0.543,1,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,spotify:track:6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4,Amazed,Lonestar,Apr 2000,3175.451,5
0.807,0.498,10,-9.91,0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,audio_features,0AcLrSfAEBQcUnHOTm5pXg,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/tracks/0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg,277413,4,Get It On Tonite,Montell Jordan,Apr 2000,3115.135,6
0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,audio_features,5Mmk2ii6laakqfeCT7OnVD,spotify:track:5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733,4,Thong Song,Sisqo,Apr 2000,3019.423,7
0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,audio_features,1Hv1VTm8zeOeybub15mA2R,spotify:track:1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/tracks/1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/audio-analysis/1Hv1VTm8zeOeybub15mA2R,258693,4,Smooth,Rob Thomas & Santana,Apr 2000,2993.198,8
0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,audio_features,3BsaRV5QIulYz2lV9WWa8T,spotify:track:3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/tracks/3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/audio-analysis/3BsaRV5QIulYz2lV9WWa8T,234960,4,Show Me The Meaning Of Being Lonely,The Backstreet Boys,Apr 2000,2945.213,9
0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,audio_features,5TAf4lnZCZTLlZHNZMLFLi,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,https://api.spotify.com/v1/tracks/5TAf4lnZCZTLlZHNZMLFLi,https://api.spotify.com/v1/audio-analysis/5TAf4lnZCZTLlZHNZMLFLi,239440,4,I Try,Macy Gray,Apr 2000,2765.266,10
0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4,Maria Maria,Santana & The Product G,May 2000,4727.955,1
0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,audio_features,7f1Dmr246cJ9uQYdbplTbh,spotify:track:7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/tracks/7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/audio-analysis/7f1Dmr246cJ9uQYdbplTbh,261933,4,He Wasn't Man Enough,Toni Braxton,May 2000,4333.026,2
0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333,4,Say My Name,Destiny's Child,May 2000,3907.859,3
