danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,month,revenue,position
0.565,0.646,7,-4.749,1,0.0335,0.0412,0,0.362,0.481,91.973,audio_features,3MGJF1CDFGfjXESL2Heva0,spotify:track:3MGJF1CDFGfjXESL2Heva0,https://api.spotify.com/v1/tracks/3MGJF1CDFGfjXESL2Heva0,https://api.spotify.com/v1/audio-analysis/3MGJF1CDFGfjXESL2Heva0,213413,4,F**kin' Perfect,P!nk,Mar 2011,1632.12,5
0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,audio_features,4r6eNCsrZnQWJzzvFh4nlg,spotify:track:4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/tracks/4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/audio-analysis/4r6eNCsrZnQWJzzvFh4nlg,227893,4,Firework,Katy Perry,Mar 2011,1515.594,6
0.609,0.581,2,-10.854,1,0.277,0.509,0,0.283,0.528,102.964,audio_features,2QdSb68BzZGMgCbsrFmSLc,spotify:track:2QdSb68BzZGMgCbsrFmSLc,https://api.spotify.com/v1/tracks/2QdSb68BzZGMgCbsrFmSLc,https://api.spotify.com/v1/audio-analysis/2QdSb68BzZGMgCbsrFmSLc,196204,3,Higher,Taio Cruz & Kylie Minogue & Travie McCoy,Mar 2011,1477.468,7
0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418,audio_features,65GbQI9VDTs7vo6MJL2iJA,spotify:track:65GbQI9VDTs7vo6MJL2iJA,https://api.spotify.com/v1/tracks/65GbQI9VDTs7vo6MJL2iJA,https://api.spotify.com/v1/audio-analysis/65GbQI9VDTs7vo6MJL2iJA,206387,3,Coming Home,P Diddy & Skylar Grey,Mar 2011,1469.236,8
0.734,0.485,4,-13.865,0,0.0465,0.357,0.00019,0.0401,0.933,95.321,audio_features,5GvWrvLIqoHroq7YvO260M,spotify:track:5GvWrvLIqoHroq7YvO260M,https://api.spotify.com/v1/tracks/5GvWrvLIqoHroq7YvO260M,https://api.spotify.com/v1/audio-analysis/5GvWrvLIqoHroq7YvO260M,222280,4,F**k You/Forget You,Cee-Lo Green,Mar 2011,1440.837,9
0.229,0.318,4,-7.374,1,0.0329,0.578,0,0.227,0.312,74.407,audio_features,53J1nPD4LXv4cZfZH2uYEM,spotify:track:53J1nPD4LXv4cZfZH2uYEM,https://api.spotify.com/v1/tracks/53J1nPD4LXv4cZfZH2uYEM,https://api.spotify.com/v1/audio-analysis/53J1nPD4LXv4cZfZH2uYEM,174382,4,Tonight (I'm F**kin' You),Enrique Iglesias & Ludacris,Mar 2011,1399.314,10
0.443,0.555,7,-15.143,1,0.175,0.000689,8.16e-06,0.119,0.489,147.193,audio_features,3j9Ivwkg9sYcaR9mlnjsAX,spotify:track:3j9Ivwkg9sYcaR9mlnjsAX,https://api.spotify.com/v1/tracks/3j9Ivwkg9sYcaR9mlnjsAX,https://api.spotify.com/v1/audio-analysis/3j9Ivwkg9sYcaR9mlnjsAX,119895,4,On The Floor,Jennifer Lopez & Pitbull,Apr 2011,2382.301,1
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,S&M,Rihanna,Apr 2011,2300.82,2
0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907,audio_features,6r2BECwMgEoRb5yLfp0Hca,spotify:track:6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca,260253,4,Born This Way,Lady GaGa,Apr 2011,2239.451,3
0.602,0.863,5,-5.423,0,0.0773,0.0178,0,0.389,0.732,150.183,audio_features,4kkeuVl6gF3RMqE4Nn5W3E,spotify:track:4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/tracks/4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/audio-analysis/4kkeuVl6gF3RMqE4Nn5W3E,206373,4,E.T.,Katy Perry & Kanye West,Apr 2011,2100.648,4
